assignment1,FALSE,description1
assignment2,FALSE,description2
assignment3,FALSE,description3
assignment4,FALSE,description4
assignment5,FALSE,description5
assignment6,FALSE,description6
assignment7,FALSE,description7
assignment8,FALSE,description8
assignment9,FALSE,description9
assignment10,FALSE,description10
assignment11,FALSE,description11
assignment12,FALSE,description12
assignment13,FALSE,description13
assignment14,FALSE,description14
assignment15,FALSE,description15
assignment16,FALSE,description16
assignment17,FALSE,description17
assignment18,FALSE,description18
assignment19,FALSE,description19
assignment20,FALSE,description20